species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,41.4,19.3,193.0,3450.0,Male
Adelie,Dream,39.8,19.1,202.8,4650.0,Male
Adelie,Dream,36.5,16.6,181.0,2850.0,Female
Adelie,Dream,40.8,17.8,195.0,3900.0,Male
Adelie,Dream,36.0,16.8,186.0,3100.0,Female
Adelie,Dream,44.1,17.5,196.0,4400.0,Male
Adelie,Dream,37.0,16.9,185.0,3150.0,Female
Adelie,Dream,49.2,18.8,206.0,4600.0,Male
Adelie,Dream,39.0,19.0,182.0,3425.0,Male
Adelie,Dream,37.5,18.9,199.0,2975.0,Male
Adelie,Dream,40.7,17.9,190.0,3450.0,Female
Adelie,Dream,42.3,17.6,191.0,4150.0,Male
Adelie,Biscoe,43.7,17.2,200.6,4173.5,Female
Adelie,Biscoe,40.1,18.2,196.0,4300.0,Male
Adelie,Biscoe,35.0,18.6,192.7,3450.0,Male
Adelie,Biscoe,40.2,18.6,200.0,3975.0,Male
Adelie,Biscoe,45.1,16.6,187.0,2900.0,Female
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female
Adelie,Biscoe,44.7,18.2,193.0,3800.0,Male
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female
Adelie,Biscoe,37.6,18.4,197.0,3750.0,Male
Adelie,Biscoe,37.0,16.9,185.0,3150.0,Female
Adelie,Biscoe,41.3,18.2,195.0,4400.0,Male
Adelie,Biscoe,41.8,17.0,212.8,4443.8,Female
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male
Adelie,Biscoe,36.4,17.1,184.0,3501.3,Female
Adelie,Biscoe,38.3,18.0,192.0,3950.0,Male
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male
Adelie,Torgersen,43.4,19.2,190.0,3640.0,Female
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female
Adelie,Torgersen,39.7,19.4,184.0,3900.0,Male
Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female
Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male
Adelie,Torgersen,35.5,17.5,191.0,3700.0,Female
Adelie,Torgersen,39.2,18.5,195.0,4250.0,Male
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female
Adelie,Torgersen,39.7,19.4,184.0,3900.0,Male
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female
Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male
Adelie,Torgersen,40.6,16.6,184.5,3200.0,Female
Adelie,Torgersen,45.7,17.6,196.0,4700.0,Female
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male
Adelie,Dream,37.3,17.8,191.0,3838.2,Female
Adelie,Dream,41.3,18.6,194.0,3550.0,Male
Adelie,Dream,36.3,19.5,190.0,3800.0,Male
Adelie,Dream,36.9,18.6,195.0,3500.0,Female
Adelie,Dream,38.3,19.2,196.0,3950.0,Male
Adelie,Dream,51.1,18.8,202.5,4050.0,Female
Adelie,Dream,35.7,18.0,202.0,3550.0,Female
Adelie,Dream,41.1,18.1,205.0,4300.0,Female
Adelie,Dream,34.0,17.1,185.0,3400.0,Female
Adelie,Dream,39.6,18.1,186.0,3614.8,Female
Adelie,Dream,46.4,17.3,187.0,3300.0,Female
Adelie,Dream,40.8,15.7,208.0,3618.6,Female
Adelie,Dream,38.1,17.3,189.0,3700.0,Female
Adelie,Dream,40.3,18.5,196.0,4102.4,Male
Adelie,Dream,37.2,18.1,178.0,2900.0,Female
Adelie,Dream,41.9,18.5,192.0,4100.0,Male
Adelie,Biscoe,35.0,18.3,191.4,3450.0,Female
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male
Adelie,Biscoe,37.7,18.6,183.0,3590.5,Female
Adelie,Biscoe,37.8,18.1,190.0,3750.0,Male
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female
Adelie,Biscoe,40.9,18.9,184.0,3550.0,Male
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female
Adelie,Biscoe,43.2,15.6,197.0,4775.0,Male
Adelie,Biscoe,38.1,18.8,198.0,3600.0,Male
Adelie,Biscoe,45.6,18.2,191.0,3525.0,Male
Adelie,Biscoe,39.7,17.6,185.4,3200.0,Female
Adelie,Biscoe,42.2,19.5,198.6,4275.0,Male
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female
Adelie,Biscoe,43.0,18.3,196.0,4075.0,Male
Adelie,Biscoe,38.6,17.0,188.0,3050.0,Female
Adelie,Torgersen,42.5,16.4,199.0,3741.7,Male
Adelie,Torgersen,35.7,17.1,193.9,3350.0,Female
Adelie,Torgersen,41.3,18.6,189.0,3325.0,Male
Adelie,Torgersen,36.2,17.9,187.0,3508.3,Female
Adelie,Torgersen,50.6,19.8,198.0,3500.0,Male
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female
Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male
Adelie,Torgersen,35.2,15.9,186.0,3293.3,Female
Adelie,Torgersen,37.5,19.0,199.0,4000.0,Male
Adelie,Torgersen,42.3,17.6,191.0,4150.0,Female
Adelie,Torgersen,41.5,18.3,202.7,4300.0,Male
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female
Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male
Adelie,Torgersen,38.5,17.9,192.3,3325.0,Female
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male
Adelie,Dream,50.6,18.5,193.0,3800.0,Female
Adelie,Dream,37.5,17.6,199.0,3433.3,Female
Adelie,Dream,40.6,17.6,187.0,3425.0,Female
Adelie,Dream,41.1,17.5,190.0,3900.0,Female
Adelie,Dream,45.7,17.5,191.0,3775.0,Female
Adelie,Dream,40.2,18.9,200.0,3975.0,Male
Adelie,Dream,38.6,16.5,185.0,3400.0,Female
Adelie,Dream,39.2,17.9,194.6,4250.0,Male
Adelie,Dream,40.2,17.1,193.0,3400.0,Female
Adelie,Dream,40.6,17.9,187.0,3356.2,Male
Adelie,Dream,38.6,17.0,188.0,3050.0,Female
Adelie,Dream,36.4,17.0,212.5,3725.0,Male
Adelie,Dream,37.3,16.8,192.0,3000.0,Female
Adelie,Dream,39.0,18.7,185.0,3650.0,Male
Adelie,Dream,39.2,18.5,195.0,4250.0,Male
Adelie,Dream,36.6,17.6,184.0,3475.0,Female
Adelie,Dream,40.8,17.8,195.0,3833.3,Female
Adelie,Dream,37.8,18.1,190.0,3750.0,Male
Adelie,Dream,36.0,17.1,195.3,3700.0,Female
Adelie,Dream,40.5,18.5,201.0,3755.0,Male
Adelie,Dream,46.5,17.9,192.0,3500.0,Female
Adelie,Dream,50.0,19.5,196.0,3950.0,Male
Chinstrap,Dream,51.3,19.2,198.0,3650.0,Male
Chinstrap,Dream,45.4,18.7,192.6,3525.0,Female
Chinstrap,Dream,52.7,19.8,198.0,3500.0,Male
Chinstrap,Dream,46.4,17.8,198.0,3700.0,Female
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female
Chinstrap,Dream,37.6,18.2,197.0,3750.0,Male
Chinstrap,Dream,39.2,17.4,195.0,4150.0,Female
Chinstrap,Dream,51.3,19.5,198.0,3575.0,Male
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female
Chinstrap,Dream,41.1,20.3,194.0,3775.0,Male
Chinstrap,Dream,47.0,17.3,180.0,3700.0,Female
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male
Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male
Chinstrap,Dream,50.3,18.2,197.0,3300.0,Male
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female
Chinstrap,Dream,46.4,17.9,190.0,3450.0,Female
Chinstrap,Dream,43.5,18.2,195.0,4400.0,Female
Chinstrap,Dream,42.4,17.2,187.5,3600.0,Female
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female
Chinstrap,Dream,50.6,18.5,193.0,3800.0,Male
Chinstrap,Dream,44.9,17.6,190.7,3300.0,Female
Chinstrap,Dream,45.4,19.0,197.0,4150.0,Male
Chinstrap,Dream,37.8,18.4,200.0,3400.0,Male
Chinstrap,Dream,49.5,19.0,200.0,4530.4,Male
Chinstrap,Dream,46.4,17.5,191.0,3700.0,Female
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male
Chinstrap,Dream,40.9,16.6,196.7,3200.0,Female
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male
Chinstrap,Dream,39.0,18.6,195.0,3897.9,Male
Chinstrap,Dream,47.5,18.4,199.0,3900.0,Male
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female
Chinstrap,Dream,52.0,20.7,194.7,4149.9,Male
Chinstrap,Dream,46.9,17.0,192.0,2700.0,Female
Chinstrap,Dream,46.2,19.1,205.0,4500.0,Male
Chinstrap,Dream,38.3,19.5,202.7,3950.0,Male
Chinstrap,Dream,46.2,17.5,200.0,3876.8,Female
Chinstrap,Dream,44.4,19.1,196.0,3550.0,Male
Chinstrap,Dream,45.5,17.0,196.0,4177.6,Female
Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female
Chinstrap,Dream,40.5,18.5,201.0,3755.0,Male
Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male
Chinstrap,Dream,51.5,17.3,187.0,3300.0,Male
Chinstrap,Dream,49.8,18.8,198.0,3500.0,Female
Chinstrap,Dream,37.5,16.4,199.0,3325.0,Female
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male
Chinstrap,Dream,45.7,17.3,193.0,3800.0,Female
Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male
Chinstrap,Dream,42.5,17.3,193.9,3350.0,Female
Chinstrap,Dream,52.2,18.8,195.0,3450.0,Male
Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female
Chinstrap,Dream,48.5,19.9,203.0,4050.0,Male
Chinstrap,Dream,50.2,18.8,202.0,4600.0,Male
Chinstrap,Dream,45.6,19.4,191.0,3525.0,Female
Chinstrap,Dream,38.3,19.5,206.0,3950.0,Male
Chinstrap,Dream,41.4,16.5,189.0,3650.0,Female
Chinstrap,Dream,45.2,18.7,188.0,3650.0,Female
Chinstrap,Dream,55.8,18.1,207.0,4000.0,Male
Chinstrap,Dream,43.5,14.4,211.8,4484.5,Female
Chinstrap,Dream,49.6,16.0,212.9,5700.0,Male
Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male
Chinstrap,Dream,41.6,18.7,180.0,3637.5,Female
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female
Gentoo,Biscoe,48.4,16.3,220.0,6000.0,Male
Gentoo,Biscoe,48.7,14.4,210.0,4525.0,Female
Gentoo,Biscoe,50.0,15.2,218.0,4855.8,Male
Gentoo,Biscoe,47.6,13.8,215.0,5400.0,Female
Gentoo,Biscoe,46.5,13.5,194.0,4650.0,Female
Gentoo,Biscoe,45.4,16.0,198.7,4800.0,Female
Gentoo,Biscoe,46.7,15.3,216.5,5200.0,Male
Gentoo,Biscoe,47.5,14.6,209.0,4600.0,Female
Gentoo,Biscoe,46.8,15.4,216.8,5150.0,Male
Gentoo,Biscoe,42.7,13.7,208.0,4508.3,Female
Gentoo,Biscoe,47.9,16.1,216.0,5550.0,Male
Gentoo,Biscoe,42.6,13.7,207.6,4650.0,Female
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male
Gentoo,Biscoe,45.5,14.6,210.0,4200.0,Female
Gentoo,Biscoe,44.5,15.7,217.0,5850.0,Male
Gentoo,Biscoe,42.0,13.5,195.0,4150.0,Female
Gentoo,Biscoe,47.9,15.2,221.0,6300.0,Male
Gentoo,Biscoe,46.2,17.5,209.0,5300.0,Female
Gentoo,Biscoe,47.8,15.1,222.0,5350.0,Male
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male
Gentoo,Biscoe,44.8,13.7,215.0,5000.0,Female
Gentoo,Biscoe,46.5,13.5,195.0,4400.0,Female
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male
Gentoo,Biscoe,50.5,15.2,216.0,4100.0,Male
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male
Gentoo,Biscoe,48.2,18.8,210.0,4600.0,Male
Gentoo,Biscoe,50.4,15.3,220.0,5550.0,Male
Gentoo,Biscoe,47.1,15.3,222.0,5250.0,Male
Gentoo,Biscoe,45.0,14.2,203.8,4700.0,Female
Gentoo,Biscoe,43.7,17.2,200.6,4173.5,Female
Gentoo,Biscoe,45.8,17.0,230.0,4637.5,Male
Gentoo,Biscoe,49.1,14.8,217.0,5350.0,Female
Gentoo,Biscoe,48.4,16.3,220.0,6000.0,Male
Gentoo,Biscoe,42.6,13.7,205.9,4763.9,Female
Gentoo,Biscoe,44.4,14.5,219.0,5250.0,Male
Gentoo,Biscoe,44.0,16.5,208.4,4350.0,Male
Gentoo,Biscoe,40.8,15.7,208.0,4811.9,Male
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female
Gentoo,Biscoe,49.6,16.0,230.0,5700.0,Male
Gentoo,Biscoe,45.3,15.3,210.0,4300.0,Female
Gentoo,Biscoe,48.5,15.0,219.0,4750.0,Female
Gentoo,Biscoe,49.4,15.9,222.0,5550.0,Male
Gentoo,Biscoe,43.6,13.9,217.0,4375.0,Female
Gentoo,Biscoe,45.5,14.6,210.0,4200.0,Female
Gentoo,Biscoe,50.5,15.9,213.0,5400.0,Male
Gentoo,Biscoe,44.9,13.3,211.7,5100.0,Female
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male
Gentoo,Biscoe,48.7,14.2,210.0,4850.0,Female
Gentoo,Biscoe,48.5,15.0,219.0,5300.0,Male
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female
Gentoo,Biscoe,46.7,15.0,225.0,5000.0,Male
Gentoo,Biscoe,46.5,13.5,215.7,4900.0,Female
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male
Gentoo,Biscoe,43.8,15.0,210.3,4354.6,Female
Gentoo,Biscoe,48.0,15.0,220.0,5000.0,Male
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female
Gentoo,Biscoe,50.4,15.3,220.0,5550.0,Male
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female
Gentoo,Biscoe,46.2,14.9,209.0,5300.0,Male
Gentoo,Biscoe,45.7,13.9,214.0,4924.2,Female
Gentoo,Biscoe,54.3,15.7,231.0,5455.6,Male
Gentoo,Biscoe,45.8,18.9,197.0,4150.0,Female
Gentoo,Biscoe,46.9,16.8,230.0,4710.7,Male
Gentoo,Biscoe,46.2,14.4,214.0,4852.9,Female
Gentoo,Biscoe,50.8,16.2,229.0,5679.9,Male
Gentoo,Biscoe,51.3,14.2,214.0,4950.0,Female
Gentoo,Biscoe,50.7,15.8,223.0,5550.0,Male
Gentoo,Biscoe,47.1,15.0,219.0,5020.0,Female
Gentoo,Biscoe,46.4,15.6,221.0,5450.0,Male
Gentoo,Biscoe,46.4,15.6,221.0,5450.0,Male
Gentoo,Biscoe,46.8,14.8,217.0,5200.0,Female
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female
Gentoo,Biscoe,49.6,16.0,230.0,5700.0,Male
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female
Gentoo,Biscoe,48.4,16.3,220.0,6000.0,Male
Gentoo,Biscoe,44.9,13.8,215.0,5000.0,Female
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male
Gentoo,Biscoe,43.6,16.7,212.0,4625.0,Female
Gentoo,Biscoe,46.4,15.6,221.0,5450.0,Male
Gentoo,Biscoe,47.4,15.8,204.7,4725.0,Male
Gentoo,Biscoe,50.5,15.9,224.0,5400.0,Male
Gentoo,Biscoe,44.9,13.8,215.0,4567.9,Female
Gentoo,Biscoe,50.8,16.0,228.0,5600.0,Male
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male
Gentoo,Biscoe,45.9,14.0,212.0,4875.0,Female
Gentoo,Biscoe,51.0,17.0,230.0,5550.0,Male
Gentoo,Biscoe,48.7,14.5,218.0,5200.0,Female
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male
Gentoo,Biscoe,45.5,15.8,196.0,4750.0,Male
Gentoo,Biscoe,49.5,16.1,224.0,5585.2,Male
Gentoo,Biscoe,44.5,14.7,217.0,4889.6,Female
Gentoo,Biscoe,50.8,15.7,226.0,5488.3,Male
Gentoo,Biscoe,47.0,15.8,216.0,4100.0,Male
Gentoo,Biscoe,43.7,17.2,200.6,4173.5,Female
Gentoo,Biscoe,48.4,16.3,213.0,5850.0,Female
Gentoo,Biscoe,51.1,16.5,225.0,5505.6,Male
Gentoo,Biscoe,48.5,15.0,219.0,4933.3,Female
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Male
Gentoo,Biscoe,49.1,14.8,222.0,5500.0,Male
Gentoo,Biscoe,47.3,15.7,205.5,4725.0,Male
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female
Gentoo,Biscoe,46.8,15.0,219.0,5250.0,Male
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female
Gentoo,Biscoe,46.2,15.1,209.0,4607.1,Male
Gentoo,Biscoe,50.5,15.2,216.0,4100.0,Female
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male
Gentoo,Biscoe,47.3,15.2,213.0,4650.0,Female
Gentoo,Biscoe,51.5,16.3,187.0,5500.0,Male
Gentoo,Biscoe,44.1,13.9,217.0,4375.0,Female
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male
Gentoo,Biscoe,44.5,15.1,217.0,5141.7,Male
Gentoo,Biscoe,48.8,16.2,222.0,5542.5,Male
Gentoo,Biscoe,42.6,13.7,214.7,4925.0,Female
Gentoo,Biscoe,43.7,17.2,200.6,4173.5,Male
Gentoo,Biscoe,46.8,14.3,215.0,5000.0,Female
Gentoo,Biscoe,50.1,15.3,218.5,5750.0,Male
Gentoo,Biscoe,45.2,14.8,217.0,5200.0,Female
Gentoo,Biscoe,50.5,15.9,213.0,5400.0,Male
