species;island;bill_length_mm;bill_depth_mm;flipper_length_mm;body_mass_g;sex
Adelie;Dream;375;;1990;;
;Dream;;176;1870;34250;Female
Adelie;;411;175;1900;39000;
Adelie;;;175;1910;;
;Dream;402;;2000;39750;Male
Adelie;Dream;;165;1850;34000;
Adelie;Dream;;179;;42500;Male
Adelie;;402;171;1930;34000;Female
Adelie;Dream;406;;1870;;Male
;Dream;;;1880;30500;
;;;170;;37250;Male
;Dream;373;168;1920;30000;
Adelie;Dream;390;187;1850;36500;
Adelie;Dream;392;;;42500;Male
Adelie;Dream;366;;1840;34750;Female
;Dream;;178;1950;;
Adelie;;378;181;;37500;Male
Adelie;Dream;360;171;;37000;
Adelie;Dream;;185;2010;;Male
;;465;179;1920;35000;Female
;;500;195;1960;;Male
Chinstrap;Dream;513;192;;36500;Male
Chinstrap;;454;187;;35250;Female
;Dream;527;198;;;
Chinstrap;Dream;;178;1980;;Female
Chinstrap;Dream;461;182;1780;32500;
;;;182;1970;37500;Male
Chinstrap;Dream;;;1950;41500;Female
Chinstrap;;513;;1980;;Male
Chinstrap;Dream;466;178;1930;38000;Female
;;;203;1940;37750;Male
;Dream;470;173;;;Female
;Dream;520;181;2010;40500;Male
Chinstrap;;459;171;1900;35750;Female
Chinstrap;;505;196;2010;40500;Male
Chinstrap;Dream;503;;1970;33000;Male
Chinstrap;;580;;1810;37000;
Chinstrap;;464;;1900;34500;Female
Chinstrap;Dream;;182;1950;44000;
;;424;;;36000;Female
Chinstrap;;485;175;1910;34000;Male
Chinstrap;;432;166;1870;;Female
Chinstrap;;506;;1930;38000;
Chinstrap;Dream;;;;33000;Female
Chinstrap;;;190;1970;41500;Male
Chinstrap;;;184;2000;34000;
;;495;190;2000;;Male
Chinstrap;;464;;1910;37000;Female
;Dream;528;200;2050;45500;
Chinstrap;Dream;409;166;;32000;
;Dream;542;208;2010;43000;
Chinstrap;Dream;425;167;1870;33500;Female
Chinstrap;Dream;510;188;2030;41000;
;Dream;;186;1950;;
;;475;;1990;39000;
Chinstrap;Dream;476;183;1950;38500;Female
;;520;207;;;Male
Chinstrap;;469;;1920;27000;Female
;Dream;;;2050;45000;
Chinstrap;Dream;;195;;39500;Male
Chinstrap;Dream;462;175;;;
Chinstrap;Dream;;191;1960;35500;
Chinstrap;;455;170;1960;;Female
Chinstrap;Dream;509;179;1960;36750;
;Dream;;185;2010;;
Chinstrap;Dream;501;;1900;34000;Female
Chinstrap;Dream;490;196;2120;43000;Male
Chinstrap;;515;;1870;;Male
Chinstrap;;498;;1980;;Female
Chinstrap;;;164;1990;33250;Female
Chinstrap;;514;190;2010;39500;Male
Chinstrap;Dream;457;173;1930;;Female
Chinstrap;Dream;507;197;2030;40500;Male
Chinstrap;Dream;425;173;;33500;
Chinstrap;Dream;522;188;;34500;Male
Chinstrap;Dream;452;166;1910;32500;Female
;Dream;;199;2030;40500;Male
Chinstrap;Dream;502;188;2020;;Male
Chinstrap;Dream;456;194;;35250;Female
Chinstrap;Dream;;195;2060;39500;Male
Chinstrap;Dream;;165;1890;36500;Female
;Dream;;;;36500;Female
Chinstrap;Dream;558;;2070;40000;Male
Chinstrap;Dream;435;;;;Female
;Dream;496;;;;Male
Chinstrap;;508;190;2100;41000;Male
Chinstrap;Dream;;187;;;Female
Gentoo;Biscoe;461;132;2110;45000;Female
Gentoo;Biscoe;;163;;;Male
Gentoo;;487;;2100;;
;Biscoe;500;152;2180;;
;Biscoe;476;;2150;54000;
;Biscoe;465;135;;;Female
Gentoo;Biscoe;454;;;48000;Female
Gentoo;Biscoe;467;153;;52000;Male
;;;;2090;;Female
Gentoo;Biscoe;468;154;;51500;Male
;;;137;;;Female
Gentoo;Biscoe;;161;2160;55500;Male
Gentoo;Biscoe;;137;;46500;Female
Gentoo;Biscoe;484;146;2130;58500;Male
Gentoo;Biscoe;;146;2100;42000;Female
;;;157;2170;58500;Male
;Biscoe;420;135;;41500;Female
Gentoo;Biscoe;;152;2210;63000;Male
;;462;;2090;;Female
;Biscoe;;151;2220;53500;Male
Gentoo;Biscoe;502;143;2180;57000;Male
Gentoo;Biscoe;;;2150;50000;Female
Gentoo;Biscoe;465;;;44000;
;Biscoe;463;158;2150;50500;Male
Gentoo;Biscoe;429;131;2150;50000;Female
Gentoo;Biscoe;461;151;2150;51000;Male
Gentoo;Biscoe;;;2160;41000;
Gentoo;Biscoe;478;150;2150;56500;Male
Gentoo;Biscoe;482;;2100;46000;
Gentoo;Biscoe;;;2200;55500;Male
Gentoo;Biscoe;;153;2220;52500;
Gentoo;Biscoe;;142;;47000;
Gentoo;Biscoe;;;;;Female
Gentoo;Biscoe;;170;2300;;Male
Gentoo;Biscoe;491;148;;;Female
Gentoo;Biscoe;484;163;;;Male
Gentoo;Biscoe;426;137;;;Female
;Biscoe;444;;2190;52500;Male
;Biscoe;440;;;43500;
Gentoo;Biscoe;;157;2080;;Male
Gentoo;;427;137;2080;39500;
Gentoo;Biscoe;496;160;;57000;Male
;Biscoe;453;;2100;43000;Female
;;;150;;47500;
Gentoo;;;159;2220;55500;Male
Gentoo;Biscoe;436;139;2170;;Female
Gentoo;Biscoe;455;;2100;42000;Female
;Biscoe;505;159;;54000;Male
Gentoo;Biscoe;449;133;;51000;Female
Gentoo;Biscoe;452;158;2150;53000;
Gentoo;Biscoe;;142;2100;48500;Female
Gentoo;Biscoe;485;;;53000;Male
;Biscoe;451;144;2100;44000;
Gentoo;;;150;2250;50000;Male
Gentoo;Biscoe;465;;;49000;Female
Gentoo;Biscoe;450;154;2200;50500;Male
;Biscoe;438;;;;Female
Gentoo;Biscoe;;150;2200;50000;Male
;Biscoe;432;145;2080;44500;
;Biscoe;504;153;;55500;Male
Gentoo;;453;138;2080;42000;Female
Gentoo;Biscoe;462;149;;53000;Male
;;457;139;2140;;Female
Gentoo;Biscoe;543;157;2310;;Male
;Biscoe;458;;;;Female
;Biscoe;;168;2300;;Male
Gentoo;Biscoe;462;144;2140;;
Gentoo;;;162;2290;;
Gentoo;Biscoe;;142;;;Female
Gentoo;Biscoe;507;;2230;55500;Male
Gentoo;Biscoe;;150;;;
;;464;156;2210;;Male
;Biscoe;;156;;;
Gentoo;;;148;2170;52000;Female
Gentoo;;464;150;2160;47000;Female
;Biscoe;;160;2300;;
Gentoo;Biscoe;475;142;2090;46000;Female
Gentoo;Biscoe;;163;2200;60000;Male
Gentoo;Biscoe;;138;2150;;Female
Gentoo;Biscoe;452;164;2230;59500;Male
Gentoo;;;;2120;46250;Female
Gentoo;;;156;;54500;Male
;;474;;;47250;
Gentoo;Biscoe;;159;2240;;
;Biscoe;449;138;;;Female
;;508;;2280;56000;Male
Gentoo;;434;144;2180;46000;
;Biscoe;513;142;2180;53000;Male
;Biscoe;;140;2120;48750;
Gentoo;;;170;2300;55500;Male
Gentoo;Biscoe;;;2180;;Female
;Biscoe;522;171;2280;54000;Male
;Biscoe;455;;;47500;
Gentoo;;495;161;2240;;Male
Gentoo;Biscoe;445;147;;;
Gentoo;;508;157;2260;;Male
Gentoo;Biscoe;;158;2160;;
;Biscoe;;;;;Female
Gentoo;Biscoe;484;;;;Female
;;511;165;2250;;Male
Gentoo;Biscoe;485;150;2190;;Female
Gentoo;;559;170;2280;56000;
;Biscoe;472;155;2150;49750;
Gentoo;;491;;;55000;Male
Gentoo;Biscoe;473;;;47250;
;;468;161;2150;55000;
;Biscoe;417;147;2100;47000;Female
Gentoo;Biscoe;;;2190;;Male
;Biscoe;433;140;2080;45750;Female
;Biscoe;;151;2090;;Male
Gentoo;;505;152;2160;;Female
Gentoo;Biscoe;498;159;2290;59500;Male
Gentoo;Biscoe;;152;2130;46500;Female
Gentoo;Biscoe;515;163;;55000;Male
Gentoo;Biscoe;;;2170;43750;Female
Gentoo;Biscoe;551;160;2300;58500;
Gentoo;;445;;2170;;
;;488;162;2220;;
Gentoo;;;137;;49250;Female
Gentoo;Biscoe;;;;;
Gentoo;;468;143;2150;;
;Biscoe;;;;57500;
Gentoo;Biscoe;452;148;;52000;Female
;Biscoe;;;2130;54000;Male
